# 语义层自动表：异体字 → 整理本用形（LM 统计 / 阅读辅助用），由 scripts/build_semantic_variants.py 派生。
# 格式：异体字	代表字	来源(ledger|graph)。手工表 config/dicts/variants.tsv 覆盖本表。
# 字形层标签永远保留精确异体字形，绝不按此表合并。
# edition=wuyingdian_zongmu  entries=9076
䌝	紺	graph
䌲	纁	graph
䍌	瓿	graph
䍐	罕	graph
䍑	罕	graph
䍞	罭	graph
䍤	擠	graph
䍩	養	graph
䍭	牂	graph
䎘	肅	graph
䎝	翥	graph
䎣	耜	graph
䎴	聖	graph
䎽	聞	graph
䏊	聾	graph
䏋	肅	graph
䏏	吁	graph
䏑	炙	graph
䏶	髀	graph
䏻	能	graph
䐈	殖	graph
䑀	癖	graph
䑌	爛	graph
䑑	僕	graph
䑒	勁	graph
䑓	臺	graph
䑕	鼠	graph
䑞	舜	graph
䑨	舵	graph
䑹	艘	graph
䒃	造	graph
䒬	莫	graph
䒭	等	graph
䒱	蒸	graph
䒶	天	graph
䓁	等	graph
䓅	芹	graph
䓏	芣	graph
䓦	典	graph
䓧	亟	graph
䓷	荇	graph
䔉	蒜	graph
䔋	莎	graph
䔍	篤	graph
䔥	蕭	graph
䔫	蔬	graph
䔽	靄	graph
䕃	蔭	graph
䕏	莪	graph
䕕	蔓	graph
䕘	苓	graph
䕤	蘄	graph
䕨	藤	graph
䕫	夔	graph
䕬	薑	graph
䕮	菊	graph
䖇	鬱	graph
䖈	虐	graph
䖋	虐	graph
䖍	虔	graph
䖑	甝	graph
䖣	蚤	graph
䖸	蛾	graph
䗋	蛑	graph
䗍	蠡	graph
䗝	蠶	graph
䗞	蠶	graph
䗢	蚤	graph
䘄	翥	graph
䘉	蠶	graph
䘘	御	graph
䘙	衛	graph
䘚	卒	graph
䘜	巾	graph
䘮	喪	graph
䘱	裕	graph
䙑	縗	graph
䙧	纁	graph
䙭	褰	graph
䚇	省	graph
䚱	信	graph
䚹	庀	graph
䛐	詞	graph
䛑	謐	graph
䛒	辯	graph
䛕	諛	graph
䛜	訊	graph
䛡	話	graph
䛦	訟	graph
䛫	倀	graph
䛷	婉	graph
䛸	詀	graph
䛺	誡	graph
䛻	誘	graph
䜖	譚	graph
䜘	警	graph
䜛	讒	graph
䜟	讖	graph
䜿	豎	graph
䝂	豎	graph
䝘	毅	graph
䝝	猗	graph
䝨	賢	graph
䝴	齎	graph
䝺	貫	graph
䝾	賦	graph
䝿	貴	graph
䞅	貽	graph
䞉	賸	graph
䞻	踊	graph
䞼	竄	graph
䟎	趲	graph
䟑	躍	graph
䟠	越	graph
䟦	跋	graph
䟺	跋	graph
䠁	躋	graph
䠂	楚	graph
䠞	蹙	graph
䠮	騰	graph
䠲	聆	graph
䠴	軀	graph
䠻	窮	graph
䡅	輴	graph
䡈	較	graph
䡑	𨏵	graph
䡓	軒	graph
䡖	輕	graph
䡩	軫	graph
䡴	衝	graph
䡷	轄	graph
䡼	軨	graph
䡿	軨	graph
䢈	辰	graph
䢉	農	graph
䢊	遊	graph
䢐	徂	graph
䢛	迥	graph
䢜	歸	graph
䢠	送	graph
䢤	述	graph
䢦	率	graph
䢫	隨	graph
䢬	遷	graph
䢯	遴	graph
䢶	邦	graph
䢸	即	graph
䢽	巷	graph
䣈	巷	graph
䣌	邸	graph
䣑	廛	graph
䣜	酇	graph
䣰	醵	graph
䤈	醯	graph
䤒	禨	graph
䤚	李	graph
䤜	鈍	graph
䤦	鉞	graph
䤯	鉶	graph
䤱	誓	graph
䤵	扉	graph
䥄	錯	graph
䥅	琴	graph
䥆	琴	graph
䥌	證	graph
䥖	鈿	graph
䥘	錯	graph
䥚	初	graph
䥣	鑿	graph
䥧	璿	graph
䥫	鐵	graph
䥭	證	graph
䥱	寫	graph
䦇	髻	graph
䦎	閌	graph
䦙	寺	graph
䦚	闊	graph
䦞	閏	graph
䦟	穩	graph
䦢	闊	graph
䦥	閑	graph
䦦	琴	graph
䦨	闌	graph
䦽	序	graph
䧍	隙	graph
䧕	域	graph
䧙	陵	graph
䧜	塘	graph
䧟	陷	graph
䧡	墉	graph
䧮	顯	graph
䧱	鳩	graph
䧳	雌	graph
䧹	鷹	graph
䧺	雄	graph
䧻	鴿	graph
䧿	鵲	graph
䨅	鷯	graph
䨇	雙	graph
䨋	虐	graph
䨌	雹	graph
䨐	洽	graph
䨒	羽	graph
䨓	雷	graph
䨔	雹	graph
䨖	霽	graph
䨠	靄	graph
䨨	頤	graph
䨩	靈	graph
䨭	霄	graph
䨮	雪	graph
䩭	羈	graph
䪄	煌	graph
䪅	韣	graph
䪕	鞠	graph
䪘	韙	graph
䪩	吟	graph
䫃	脣	graph
䫉	貌	graph
䫝	馥	graph
䫞	頒	graph
䬗	颺	graph
䬠	霏	graph
䬡	翥	graph
䬦	餖	graph
䬩	齋	graph
䬮	飴	graph
䬴	秣	graph
䭋	飽	graph
䭝	膾	graph
䭞	繹	graph
䭣	餈	graph
䭫	稽	graph
䭬	稽	graph
䮀	𩣡	graph
䮁	駢	graph
䮃	驅	graph
䮈	馳	graph
䮐	駉	graph
䮛	駙	graph
䮫	驢	graph
䮳	蕃	graph
䮻	禂	graph
䮼	驎	graph
䮽	鑣	graph
䯗	髀	graph
䯛	腕	graph
䯨	敲	graph
䯫	顥	graph
䯻	髻	graph
䰄	思	graph
䰛	鬲	graph
䰜	鬲	graph
䰝	甑	graph
䰞	煮	graph
䰟	魂	graph
䰻	漁	graph
䱳	鱣	graph
䱷	漁	graph
䲆	鮮	graph
䲔	鯨	graph
䲥	鳩	graph
䲩	鳲	graph
䲫	鳩	graph
䲭	鴟	graph
䲵	雀	graph
䲷	梟	graph
䳨	凰	graph
䳽	鶴	graph
䴢	麋	graph
䴪	鹿	graph
䵅	熬	graph
䵊	𪏆	graph
䵍	𪏆	graph
䵞	黥	graph
丄	上	graph
丅	下	graph
万	萬	graph
与	與	graph
丒	丑	graph
丗	世	graph
丛	叢	graph
东	東	graph
丝	絲	graph
丠	丘	graph
严	嚴	graph
临	臨	graph
乆	久	graph
乌	烏	graph
乐	樂	graph
乔	喬	graph
乕	虎	graph
习	習	graph
乡	鄉	graph
书	書	graph
乩	稽	graph
买	買	graph
乱	亂	graph
亀	龜	graph
亊	事	graph
亐	于	graph
亖	四	graph
亗	歲	graph
亵	褻	graph
亾	亡	graph
仂	力	graph
仆	僕	graph
仓	倉	graph
仔	子	graph
仟	阡	graph
仧	長	graph
仪	儀	graph
仺	倉	graph
仾	低	graph
伂	沛	graph
伃	妤	graph
伇	役	graph
伖	帑	graph
优	優	graph
伙	夥	graph
伜	倅	graph
伟	偉	graph
传	傳	graph
伤	傷	graph
伥	倀	graph
伦	倫	graph
伹	徂	graph
佀	似	graph
佂	征	graph
佈	布	graph
佉	祛	graph
佊	彼	graph
住	往	graph
佒	仰	graph
佝	拘	graph
佥	僉	graph
佰	百	graph
侀	形	graph
侁	詵	graph
侂	𠈁	graph
侅	賅	graph
侌	陰	graph
侎	敉	graph
侓	律	graph
侚	狥	graph
侠	俠	graph
侢	戴	graph
侧	側	graph
侨	僑	graph
侪	儕	graph
侽	男	graph
俆	徐	graph
俈	嚳	graph
俉	迕	graph
俌	輔	graph
俖	倍	graph
俢	修	graph
俥	車	graph
俦	儔	graph
俪	儷	graph
俭	儉	graph
俻	備	graph
俼	鬻	graph
俽	欣	graph
倛	欺	graph
値	值	graph
倵	岱	graph
倹	儉	graph
倾	傾	graph
偀	英	graph
偂	前	graph
偃	匽	graph
偄	儒	graph
偋	屏	graph
偟	遑	graph
偩	負	graph
偰	契	graph
偱	循	graph
偹	備	graph
偿	償	graph
傁	叟	graph
傈	栗	graph
傓	煽	graph
傔	兼	graph
傜	徭	graph
傠	伐	graph
傡	並	graph
傥	儻	graph
储	儲	graph
債	責	graph
傿	鄢	graph
僃	備	graph
僇	聊	graph
働	動	graph
僔	尊	graph
僗	勞	graph
僘	敞	graph
僜	登	graph
僡	惠	graph
僫	惡	graph
僯	遴	graph
儋	擔	graph
儌	僥	graph
儐	擯	graph
儛	舞	graph
儫	豪	graph
兏	長	graph
兘	始	graph
兦	亡	graph
兪	俞	graph
兰	蘭	graph
兲	天	graph
兴	興	graph
养	養	graph
兽	獸	graph
兾	冀	graph
冃	帽	graph
写	寫	graph
军	軍	graph
冝	宜	graph
冨	富	graph
冩	寫	graph
冪	鼏	graph
冭	泰	graph
冯	馮	graph
冶	治	graph
冸	泮	graph
冾	洽	graph
凊	清	graph
减	減	graph
凖	準	graph
凜	凛	graph
凟	瀆	graph
凢	凡	graph
凣	凡	graph
凤	鳳	graph
凨	風	graph
凬	風	graph
凮	風	graph
凯	凱	graph
击	擊	graph
凿	鑿	graph
刂	刀	graph
刋	刊	graph
刍	芻	graph
刕	州	graph
刘	劉	graph
则	則	graph
刚	剛	graph
刧	刦	graph
剣	劍	graph
剥	剝	graph
剦	閹	graph
剧	劇	graph
剮	另	graph
剰	剩	graph
劎	劍	graph
劔	劍	graph
劝	勸	graph
办	辦	graph
务	務	graph
劤	勁	graph
劦	協	graph
励	勵	graph
劲	勁	graph
労	勞	graph
势	勢	graph
勄	敏	graph
勈	勇	graph
勐	猛	graph
勓	劾	graph
勡	剽	graph
勣	績	graph
勧	勸	graph
勭	動	graph
勮	劇	graph
勷	襄	graph
匊	掬	graph
匛	柩	graph
匞	匠	graph
匧	篋	graph
匭	簋	graph
匮	匱	graph
匯	滙	graph
匲	奩	graph
匳	奩	graph
匵	櫝	graph
匶	柩	graph
区	區	graph
匾	扁	graph
卂	迅	graph
卆	卒	graph
卋	世	graph
协	協	graph
卖	賣	graph
卛	率	graph
卥	西	graph
卫	衛	graph
厅	廳	graph
压	壓	graph
厛	廳	graph
厠	廁	graph
厢	廂	graph
厮	㒋	graph
厳	嚴	graph
厵	源	graph
厸	鄰	graph
厺	去	graph
县	縣	graph
収	收	graph
叒	若	graph
叕	綴	graph
变	變	graph
叜	叟	graph
吕	呂	graph
吥	否	graph
吰	宏	graph
吿	告	graph
呅	吻	graph
呉	吳	graph
呌	叫	graph
呑	吞	graph
员	員	graph
呡	吻	graph
呣	謀	graph
呩	嗜	graph
咀	觜	graph
咁	銜	graph
咲	笑	graph
咵	誇	graph
响	響	graph
唀	誘	graph
唑	噬	graph
唦	賒	graph
唫	吟	graph
啄	咮	graph
啇	摘	graph
啊	嗄	graph
啛	啐	graph
啠	哲	graph
啨	情	graph
啬	嗇	graph
啺	唐	graph
営	營	graph
喾	嚳	graph
嗛	銜	graph
嗞	咨	graph
嗫	囁	graph
嘂	叫	graph
嘅	慨	graph
嘞	勒	graph
嘩	譁	graph
噄	喫	graph
噊	譎	graph
噐	器	graph
噖	吟	graph
噵	道	graph
嚐	嘗	graph
嚞	哲	graph
嚣	囂	graph
嚻	囂	graph
囏	艱	graph
囙	因	graph
囝	月	graph
団	團	graph
囦	淵	graph
囯	國	graph
囲	圍	graph
围	圍	graph
囶	國	graph
囻	國	graph
国	國	graph
圀	國	graph
圊	清	graph
圏	圈	graph
圑	圃	graph
圠	瘞	graph
圣	聖	graph
圧	壓	graph
坁	坻	graph
坔	地	graph
坕	經	graph
坖	忌	graph
坘	坻	graph
坚	堅	graph
坟	墳	graph
坠	墜	graph
坣	堂	graph
坮	臺	graph
坴	陸	graph
坸	垢	graph
垁	雉	graph
垐	堲	graph
垕	厚	graph
垻	壩	graph
垾	岸	graph
埃	雉	graph
埈	峻	graph
埉	峽	graph
埊	地	graph
埑	哲	graph
埘	塒	graph
埠	步	graph
埧	壩	graph
埩	淨	graph
堗	突	graph
堢	堡	graph
堦	階	graph
堺	界	graph
堾	踳	graph
塡	填	graph
