# components_v1  K=20  source=ids_lv1.txt@503a655a9436  columns: component	n_chars	kind
壹	66	stop
尒	66	stop
芻	66	stop
𫇦	66	stop
亚	65	stop
卬	65	stop
泉	65	stop
肅	65	stop
要	65	stop
霝	65	stop
𣎆	65	stop
#(-乛丿)	64	stroke
㝵	64	stop
叉	64	stop
夹	64	stop
如	64	stop
幼	64	stop
建	64	stop
皀	64	stop
監	64	stop
𠂢	64	stop
亲	63	stop
原	63	stop
叟	63	stop
奉	63	stop
孝	63	stop
布	63	stop
电	63	stop
甾	63	stop
畏	63	stop
癸	63	stop
般	63	stop
㒼	62	stop
冓	62	stop
官	62	stop
杀	62	stop
某	62	stop
灰	62	stop
臿	62	stop
㐄	61	stop
丬	61	stop
亾	61	stop
具	61	stop
兹	61	stop
厸	61	stop
埶	61	stop
市	61	stop
彑	61	stop
棥	61	stop
疌	61	stop
英	61	stop
菐	61	stop
齐	61	stop
𠀎	61	stop
𠀐	61	stop
𠃋	61	stop
𣪊	61	stop
允	60	stop
冄	60	stop
勾	60	stop
吏	60	stop
向	60	stop
咢	60	stop
客	60	stop
戚	60	stop
昏	60	stop
曳	60	stop
無	60	stop
習	60	stop
臭	60	stop
若	60	stop
辱	60	stop
采	60	stop
#(一-𠃍丨b𠃌)	59	stroke
丛	59	stop
冝	59	stop
号	59	stop
名	59	stop
廣	59	stop
曹	59	stop
柔	59	stop
柬	59	stop
矞	59	stop
秀	59	stop
耂	59	stop
華	59	stop
蒦	59	stop
買	59	stop
𠤎	59	stop
𬺣	59	stop
#(丿𠃊)	58	stroke
㝉	58	stop
兮	58	stop
刍	58	stop
卂	58	stop
居	58	stop
從	58	stop
戉	58	stop
烏	58	stop
累	58	stop
耎	58	stop
胃	58	stop
蒙	58	stop
鼎	58	stop
单	57	stop
友	57	stop
夷	57	stop
巩	57	stop
景	57	stop
皆	57	stop
𦥯	57	stop
侯	56	stop
冗	56	stop
宣	56	stop
崔	56	stop
朁	56	stop
盾	56	stop
矣	56	stop
羅	56	stop
舍	56	stop
袁	56	stop
賁	56	stop
農	56	stop
𠃓	56	stop
㓞	55	stop
㚇	55	stop
丞	55	stop
串	55	stop
产	55	stop
充	55	stop
唐	55	stop
复	55	stop
定	55	stop
巤	55	stop
年	55	stop
庸	55	stop
樂	55	stop
灭	55	stop
疑	55	stop
連	55	stop
雍	55	stop
𦈢	55	stop
並	54	stop
互	54	stop
典	54	stop
匋	54	stop
参	54	stop
巽	54	stop
彦	54	stop
敦	54	stop
武	54	stop
熏	54	stop
爭	54	stop
𢆰	54	stop
𬼀	54	stop
敄	53	stop
敫	53	stop
桑	53	stop
胡	53	stop
遂	53	stop
間	53	stop
𦐇	53	stop
𦣻	53	stop
冐	52	stop
劦	52	stop
厥	52	stop
岡	52	stop
巫	52	stop
延	52	stop
悤	52	stop
意	52	stop
牟	52	stop
狊	52	stop
相	52	stop
瞿	52	stop
麗	52	stop
𠇍	52	stop
𦰩	52	stop
𰃮	52	stop
乡	51	stop
五	51	stop
会	51	stop
則	51	stop
叜	51	stop
圣	51	stop
屋	51	stop
帶	51	stop
怱	51	stop
戎	51	stop
炏	51	stop
畢	51	stop
羌	51	stop
象	51	stop
𠄌	51	stop
𠆣	51	stop
𥝢	51	stop
丫	50	stop
么	50	stop
乎	50	stop
將	50	stop
尊	50	stop
庚	50	stop
弁	50	stop
業	50	stop
沓	50	stop
磊	50	stop
翁	50	stop
聶	50	stop
苗	50	stop
虒	50	stop
貞	50	stop
雋	50	stop
𣦵	50	stop
之	49	stop
厤	49	stop
庶	49	stop
录	49	stop
氣	49	stop
爲	49	stop
草	49	stop
豖	49	stop
豦	49	stop
賏	49	stop
賓	49	stop
贊	49	stop
𢀳	49	stop
亟	48	stop
区	48	stop
否	48	stop
戌	48	stop
敕	48	stop
當	48	stop
礼	48	stop
羔	48	stop
韱	48	stop
黾	48	stop
𦓔	48	stop
ユ	47	stop
外	47	stop
幾	47	stop
歲	47	stop
秦	47	stop
素	47	stop
𱥯	47	stop
保	46	stop
厄	46	stop
咠	46	stop
囚	46	stop
夜	46	stop
奔	46	stop
妾	46	stop
寧	46	stop
廉	46	stop
斯	46	stop
最	46	stop
畺	46	stop
義	46	stop
荅	46	stop
賴	46	stop
𣅀	46	stop
㚔	45	stop
冥	45	stop
厘	45	stop
四	45	stop
困	45	stop
固	45	stop
夏	45	stop
夢	45	stop
寿	45	stop
尧	45	stop
尨	45	stop
康	45	stop
産	45	stop
贵	45	stop
那	45	stop
魯	45	stop
𢑑	45	stop
㐫	44	stop
丱	44	stop
册	44	stop
别	44	stop
匡	44	stop
匸	44	stop
史	44	stop
宓	44	stop
尋	44	stop
彐	44	stop
既	44	stop
毚	44	stop
閒	44	stop
龱	44	stop
与	43	stop
伐	43	stop
助	43	stop
勞	43	stop
厓	43	stop
吝	43	stop
國	43	stop
堂	43	stop
奥	43	stop
孟	43	stop
寅	43	stop
屏	43	stop
廌	43	stop
引	43	stop
术	43	stop
甶	43	stop
耶	43	stop
蔑	43	stop
追	43	stop
靈	43	stop
飛	43	stop
𠬞	43	stop
𦉪	43	stop
𲋄	43	stop
㇁	42	atom
㚘	42	stop
制	42	stop
厭	42	stop
受	42	stop
屾	42	stop
度	42	stop
弔	42	stop
志	42	stop
忽	42	stop
惠	42	stop
索	42	stop
解	42	stop
達	42	stop
邕	42	stop
龜	42	stop
𠫔	42	stop
𰀄	42	stop
个	41	stop
卢	41	stop
嗇	41	stop
存	41	stop
幵	41	stop
微	41	stop
忍	41	stop
戠	41	stop
放	41	stop
斥	41	stop
殹	41	stop
發	41	stop
监	41	stop
盖	41	stop
祭	41	stop
禁	41	stop
虘	41	stop
阜	41	stop
阿	41	stop
隺	41	stop
頃	41	stop
鬯	41	stop
𣏋	41	stop
𧰨	41	stop
㸚	40	stop
䖝	40	stop
乔	40	stop
军	40	stop
嚴	40	stop
急	40	stop
感	40	stop
段	40	stop
皃	40	stop
矍	40	stop
翕	40	stop
葉	40	stop
表	40	stop
賛	40	stop
霍	40	stop
鬥	40	stop
𪠲	40	stop
𫩠	40	stop
㬎	39	stop
争	39	stop
休	39	stop
佥	39	stop
剌	39	stop
厲	39	stop
囧	39	stop
壯	39	stop
契	39	stop
式	39	stop
晏	39	stop
稟	39	stop
竒	39	stop
隋	39	stop
集	39	stop
龵	39	stop
𠁣	39	stop
𡰥	39	stop
㥯	38	stop
兵	38	stop
匽	38	stop
哥	38	stop
墨	38	stop
宅	38	stop
尗	38	stop
强	38	stop
敏	38	stop
於	38	stop
替	38	stop
栗	38	stop
燕	38	stop
秃	38	stop
芒	38	stop
貫	38	stop
路	38	stop
速	38	stop
零	38	stop
䙴	37	stop
乳	37	stop
劳	37	stop
囷	37	stop
奈	37	stop
嬰	37	stop
密	37	stop
尉	37	stop
弱	37	stop
敬	37	stop
昍	37	stop
查	37	stop
眔	37	stop
肩	37	stop
興	37	stop
蓋	37	stop
過	37	stop
雀	37	stop
𠤕	37	stop
𩰲	37	stop
#(𠃑-一丨)	36	stroke
㕣	36	stop
丽	36	stop
冒	36	stop
吞	36	stop
妻	36	stop
巂	36	stop
息	36	stop
晋	36	stop
暴	36	stop
朵	36	stop
率	36	stop
省	36	stop
葛	36	stop
长	36	stop
隊	36	stop
養	36	stop
丐	35	stop
仑	35	stop
卡	35	stop
商	35	stop
奠	35	stop
宿	35	stop
悲	35	stop
执	35	stop
朶	35	stop
枚	35	stop
爽	35	stop
甹	35	stop
罙	35	stop
𣄼	35	stop
𰆊	35	stop
⺆	34	stop
㞢	34	stop
䏍	34	stop
丈	34	stop
义	34	stop
员	34	stop
夲	34	stop
守	34	stop
憂	34	stop
普	34	stop
桀	34	stop
波	34	stop
突	34	stop
蟲	34	stop
麃	34	stop
𠃎	34	stop
𠕀	34	stop
𡭕	34	stop
𢀖	34	stop
㡀	33	stop
伏	33	stop
冃	33	stop
农	33	stop
務	33	stop
匿	33	stop
叅	33	stop
字	33	stop
展	33	stop
当	33	stop
忩	33	stop
愛	33	stop
戋	33	stop
戾	33	stop
房	33	stop
扇	33	stop
毒	33	stop
狂	33	stop
肴	33	stop
臬	33	stop
臱	33	stop
蚤	33	stop
褱	33	stop
闌	33	stop
𢼄	33	stop
𣬉	33	stop
𤰇	33	stop
𤰔	33	stop
𦔮	33	stop
𦥔	33	stop
#(-一丨b𠃌)	32	stroke
#(丨-一𠃑)	32	stroke
リ	32	stop
㫺	32	stop
吊	32	stop
咎	32	stop
在	32	stop
奐	32	stop
宏	32	stop
彭	32	stop
敞	32	stop
散	32	stop
旲	32	stop
焱	32	stop
犀	32	stop
竟	32	stop
答	32	stop
罗	32	stop
考	32	stop
耆	32	stop
聚	32	stop
胥	32	stop
臯	32	stop
苦	32	stop
𨸏	32	stop
丏	31	stop
兩	31	stop
函	31	stop
卖	31	stop
叀	31	stop
叒	31	stop
對	31	stop
局	31	stop
底	31	stop
復	31	stop
斩	31	stop
旋	31	stop
朔	31	stop
朝	31	stop
松	31	stop
絲	31	stop
肯	31	stop
背	31	stop
舂	31	stop
花	31	stop
虖	31	stop
質	31	stop
阑	31	stop
韯	31	stop
𠬤	31	stop
亮	30	stop
作	30	stop
呙	30	stop
囬	30	stop
宋	30	stop
封	30	stop
射	30	stop
岑	30	stop
戍	30	stop
昬	30	stop
朗	30	stop
殺	30	stop
罷	30	stop
迷	30	stop
逐	30	stop
间	30	stop
𠂔	30	stop
𠕋	30	stop
𠯑	30	stop
𣶒	30	stop
㸒	29	stop
丌	29	stop
丣	29	stop
亯	29	stop
以	29	stop
冡	29	stop
切	29	stop
匝	29	stop
华	29	stop
卞	29	stop
囊	29	stop
奏	29	stop
孔	29	stop
家	29	stop
審	29	stop
寻	29	stop
尖	29	stop
就	29	stop
屬	29	stop
岂	29	stop
戒	29	stop
施	29	stop
无	29	stop
欶	29	stop
江	29	stop
灵	29	stop
豪	29	stop
𡬠	29	stop
㲋	28	stop
东	28	stop
乖	28	stop
仓	28	stop
匈	28	stop
卤	28	stop
历	28	stop
哉	28	stop
堅	28	stop
尣	28	stop
崇	28	stop
師	28	stop
常	28	stop
慮	28	stop
截	28	stop
拜	28	stop
掌	28	stop
条	28	stop
柰	28	stop
氶	28	stop
爵	28	stop
牢	28	stop
看	28	stop
祟	28	stop
罔	28	stop
致	28	stop
訇	28	stop
邦	28	stop
難	28	stop
黨	28	stop
𠀉	28	stop
𠷎	28	stop
𤰞	28	stop
𪧇	28	stop
凢	27	stop
发	27	stop
基	27	stop
察	27	stop
嵬	27	stop
店	27	stop
彗	27	stop
族	27	stop
晶	27	stop
歮	27	stop
殿	27	stop
炙	27	stop
為	27	stop
畱	27	stop
皋	27	stop
粲	27	stop
茶	27	stop
賔	27	stop
贡	27	stop
贲	27	stop
辵	27	stop
雪	27	stop
𠀁	27	stop
𠂈	27	stop
𱕻	27	stop
㇀	26	atom
㕛	26	stop
㞷	26	stop
专	26	stop
另	26	stop
囱	26	stop
好	26	stop
孫	26	stop
宾	26	stop
幽	26	stop
弘	26	stop
忌	26	stop
條	26	stop
法	26	stop
然	26	stop
盡	26	stop
禸	26	stop
等	26	stop
罢	26	stop
达	26	stop
近	26	stop
通	26	stop
都	26	stop
靡	26	stop
須	26	stop
乐	25	stop
伯	25	stop
凹	25	stop
勇	25	stop
卆	25	stop
厃	25	stop
厚	25	stop
坚	25	stop
声	25	stop
季	25	stop
带	25	stop
府	25	stop
憲	25	stop
晃	25	stop
朮	25	stop
析	25	stop
渚	25	stop
盈	25	stop
矦	25	stop
衮	25	stop
豐	25	stop
黎	25	stop
𠩺	25	stop
𠫤	25	stop
𣪠	25	stop
𤐫	25	stop
㷠	24	stop
䝿	24	stop
为	24	stop
亓	24	stop
再	24	stop
刑	24	stop
初	24	stop
吹	24	stop
命	24	stop
威	24	stop
宰	24	stop
岸	24	stop
州	24	stop
待	24	stop
惡	24	stop
愈	24	stop
數	24	stop
時	24	stop
書	24	stop
枲	24	stop
毳	24	stop
畀	24	stop
畜	24	stop
秝	24	stop
蘭	24	stop
