# 形近对表 v1（2026-09-22）。对象：现役 CNN 类表 4654 类。判据：(a) IDS 关系（同结构只差一槽 slot / 同部件异布局 layout）且字体模板 embedding 余弦 ≥ 0.945；(b) 任意两类字体模板余弦 ≥ 0.955（visual，含独体）。余弦来自 r5 主干 171dafe12f59 对 fonts/ 全部字体（49a4dcab1818）渲染均值；IDS 词表 1b4e652f5be9。标定：諭/論 .958 己/巳 .947 日/曰 .961 王/玉 .960 士/土 .975 戌/戍 .961 侯/候 .961；湄/潰 .937 泌/湖 .909 被 (a) 挡在外。随机类对 p50/p99 = .924/.944。
# 用途：形近靶子抽样、训练硬负例批采样、审字卡片提示「存在形近字 X，差在 R 槽 俞/侖」。**不进放行**。
a	b	kind	cos	detail
探	琛	slot	0.9605	⿰:L:王/扌
姝	媟	slot	0.9605	⿰:R:枼/朱
揚	搨	slot	0.9605	⿰:R:昜/𦐇
廸	𭥆	visual	0.9605	
鷖	鷢	slot	0.9605	⿱:T:殹/厥
者	𮬻	visual	0.9605	
徤	𠷣	visual	0.9605	
恪	格	slot	0.9605	⿰:L:忄/木
祼	禖	slot	0.9605	⿰:R:某/果
妥	安	slot	0.9605	⿱:T:宀/爫
習	翟	slot	0.9605	⿱:B:白/隹
毁	𢦤	visual	0.9605	
宫	𨏵	visual	0.9605	
髪	𦊨	visual	0.9605	
濶	𦊨	visual	0.9605	
抱	拘	slot	0.9605	⿰:R:包/句
傎	滇	slot	0.9605	⿰:L:亻/氵
屠	暑	visual	0.9605	
羅	蘿	visual	0.9605	
闈	闡	slot	0.9604	⿵:I:單/韋
撰	撲	slot	0.9604	⿰:R:菐/巽
幐	𧃲	visual	0.9604	
奥	𤇍	visual	0.9604	
綌	谿	slot	0.9604	⿰:L:糸/奚
懴	𨏵	visual	0.9604	
了	子	visual	0.9604	
晨	農	slot	0.9604	⿱:T:曲/日
迭	送	slot	0.9604	⿺:I:失/关
義	羲	slot	0.9604	⿱:B:我/亻戈人丂
幅	蝠	slot	0.9604	⿰:L:虫/巾
其	𦒿	visual	0.9604	
不	𧃲	visual	0.9604	
寵	龐	visual	0.9604	
嫓	廵	visual	0.9604	
資	餈	slot	0.9604	⿱:B:食/貝
如	𣵠	visual	0.9604	
之	二	visual	0.9604	
蝦	蟈	slot	0.9604	⿰:R:叚/國
畧	窽	visual	0.9604	
鬬	𨽾	visual	0.9604	
媧	禍	slot	0.9604	⿰:L:女/示
蓡	𨏵	visual	0.9604	
全	𣙗	visual	0.9604	
䕶	𨽾	visual	0.9604	
擊	繫	slot	0.9604	⿱:B:手/糸
其	餙	visual	0.9604	
神	禆	slot	0.9604	⿰:R:卑/申
髪	𮬻	visual	0.9604	
姆	嫓	slot	0.9604	⿰:R:⺈冈比/母
澮	瀹	slot	0.9604	⿰:R:龠/會
㫖	𣕕	visual	0.9604	
煥	燠	slot	0.9604	⿰:R:奐/奥
亮	亳	slot	0.9604	⿳:B:冗/冖乇
餙	𣵠	visual	0.9604	
俘	浮	slot	0.9604	⿰:L:氵/亻
兹	𥳽	visual	0.9604	
瑣	頊	slot	0.9604	⿰:R:𧴪/頁
閲	餙	visual	0.9604	
樛	轇	slot	0.9604	⿰:L:木/車
勢	摰	slot	0.9604	⿱:B:力/手
不	𥙐	visual	0.9604	
丧	𫃟	visual	0.9603	
諧	諸	slot	0.9603	⿰:R:者/皆
辳	震	slot	0.9603	⿱:T:雨/林
抛	𠷣	visual	0.9603	
遥	𮙥	visual	0.9603	
侏	保	slot	0.9603	⿰:R:朱/呆
詔	諂	slot	0.9603	⿰:R:召/臽
如	𮙥	visual	0.9603	
畞	窽	visual	0.9603	
棨	綮	slot	0.9603	⿱:B:糸/木
亷	𦊨	visual	0.9603	
嚷	𨽾	visual	0.9603	
天	无	slot	0.9603	⿱:B:尢/大
雞	難	slot	0.9603	⿰:L:𦰩/奚
妻	婁	slot	0.9603	⿱:T:十⺕/丨口一口
四	𦐖	visual	0.9603	
㩁	𨓜	visual	0.9603	
廁	廊	slot	0.9603	⿸:I:郎/則
遥	𣕕	visual	0.9603	
歲	歳	slot	0.9603	⿱:B:戌小/戌丿丨丿
幐	𥳽	visual	0.9603	
定	足	visual	0.9603	
廵	𥙐	visual	0.9603	
范	菹	slot	0.9603	⿱:B:氵㔾/氵且
如	𥳽	visual	0.9603	
之	𠮓	visual	0.9603	
爲	𢦤	visual	0.9603	
其	而	visual	0.9603	
斜	紏	slot	0.9603	⿰:L:糸/余
與	興	slot	0.9603	⿶:I:𠃑一丨/同
藴	顔	visual	0.9603	
世	毋	visual	0.9603	
毁	𣙗	visual	0.9603	
姬	嫓	slot	0.9603	⿰:R:𦣞/⺈冈比
翊	詡	slot	0.9603	⿰:L:立/言
饑	𧝞	slot	0.9603	⿰:L:衤/飠
酏	醜	slot	0.9603	⿰:R:鬼/也
修	幓	visual	0.9603	
奇	寄	visual	0.9603	
渒	𤄊	slot	0.9603	⿰:R:卑/厂墨
漳	障	slot	0.9603	⿰:L:阝/氵
四	𦅐	visual	0.9603	
從	徤	slot	0.9603	⿰:R:从龰/建
廸	𦒿	visual	0.9603	
爲	𫃟	visual	0.9603	
事	專	visual	0.9603	
妨	姊	slot	0.9603	⿰:R:方/𠂔
蓡	餙	visual	0.9603	
暘	腸	slot	0.9603	⿰:L:月/日
膉	隘	slot	0.9603	⿰:L:阝/月
搖	瑤	slot	0.9603	⿰:L:扌/王
諧	譜	slot	0.9603	⿰:R:普/皆
鱒	鱘	slot	0.9603	⿰:R:尋/尊
緎	纎	slot	0.9603	⿰:R:韯/或
緒	豬	slot	0.9603	⿰:L:糸/豕
撲	璞	slot	0.9603	⿰:L:扌/王
䕶	𣙗	visual	0.9603	
兹	𫃟	visual	0.9603	
妄	安	slot	0.9602	⿱:T:亡/宀
給	綌	slot	0.9602	⿰:R:合/谷
而	𦊨	visual	0.9602	
彚	𥳽	visual	0.9602	
之	庀	visual	0.9602	
丹	舟	visual	0.9602	
廪	𮊁	visual	0.9602	
璸	瓚	slot	0.9602	⿰:R:贊/賓
微	徽	slot	0.9602	⿰:R:山系攵/山一几攵
刵	取	slot	0.9602	⿰:R:刂/又
嵬	患	visual	0.9602	
徤	𨽾	visual	0.9602	
旅	旋	visual	0.9602	
喚	晩	visual	0.9602	
患	惠	slot	0.9602	⿱:T:串/叀
篡	纂	visual	0.9602	
彿	徤	slot	0.9602	⿰:R:弗/建
犍	鞬	slot	0.9602	⿰:L:革/牛
謳	軀	slot	0.9602	⿰:L:身/言
漿	獎	slot	0.9602	⿱:B:水/犬
娼	婚	slot	0.9602	⿰:R:昏/昌
侍	恃	slot	0.9602	⿰:L:忄/亻
放	敖	slot	0.9602	⿰:L:方/龶勹
也	𣕕	visual	0.9602	
隷	𨽾	slot	0.9602	⿰:L:士示/上示
兹	𨓜	visual	0.9602	
頽	𮙥	visual	0.9602	
至	𮙥	visual	0.9602	
勰	鰓	slot	0.9602	⿰:L:魚/劦
宫	𮊁	visual	0.9602	
廪	𦒿	visual	0.9602	
徤	𣕕	visual	0.9602	
彚	𮙥	visual	0.9602	
其	𮙥	visual	0.9602	
彞	𫃟	visual	0.9602	
撮	攝	slot	0.9602	⿰:R:聶/最
兹	𣙗	visual	0.9602	
彞	𨽾	visual	0.9602	
鯽	鱒	slot	0.9602	⿰:R:即/尊
歡	觀	slot	0.9602	⿰:R:欠/見
㫖	皆	visual	0.9602	
綿	編	slot	0.9602	⿰:R:帛/扁
檀	櫝	slot	0.9602	⿰:R:亶/賣
懴	𭥆	visual	0.9601	
僞	潙	slot	0.9601	⿰:L:氵/亻
勱	勵	slot	0.9601	⿰:L:萬/厲
浙	逝	visual	0.9601	
爲	𣙗	visual	0.9601	
雕	離	slot	0.9601	⿰:L:周/离
勇	男	slot	0.9601	⿱:T:田/甬
者	𮙥	visual	0.9601	
㩁	餙	visual	0.9601	
勝	幐	slot	0.9601	⿰:R:龹力/龹巾
欽	錟	slot	0.9601	⿰:R:炎/欠
槃	盤	slot	0.9601	⿱:B:皿/木
其	𨓜	visual	0.9601	
著	𥊍	visual	0.9601	
厨	𢑴	visual	0.9601	
䟽	禆	visual	0.9601	
俶	椒	slot	0.9601	⿰:L:亻/木
倶	廪	visual	0.9601	
鬬	𥳽	visual	0.9601	
書	𨏵	visual	0.9601	
畧	𢦤	visual	0.9601	
彞	𦊨	visual	0.9601	
滛	𨽾	visual	0.9601	
維	雒	slot	0.9601	⿰:L:各/糸
厭	厰	slot	0.9601	⿸:I:冐犬/敞
氊	𣕕	visual	0.9601	
公	分	slot	0.9601	⿱:B:刀/厶
寛	閲	visual	0.9601	
髪	𢦤	visual	0.9601	
髣	髻	slot	0.9601	⿱:B:吉/方
洪	淇	slot	0.9601	⿰:R:共/其
旺	盱	visual	0.9601	
宼	𫃟	visual	0.9601	
吞	春	visual	0.9601	
幐	𮬻	visual	0.9601	
潄	禆	visual	0.9601	
畞	𤄊	visual	0.9601	
䟽	𤇍	visual	0.9601	
禭	隧	slot	0.9601	⿰:L:示/阝
至	𢑴	visual	0.9601	
丧	𥙐	visual	0.9601	
寰	簑	visual	0.9601	
彚	𮑮	visual	0.9601	
廵	𤄊	visual	0.9601	
藴	𤇍	visual	0.9601	
嫄	縓	slot	0.9601	⿰:L:女/糸
欺	歟	slot	0.9601	⿰:L:與/其
分	𣕕	visual	0.9601	
代	伐	slot	0.9601	⿰:R:弋/戈
宥	有	visual	0.9601	
分	𫃟	visual	0.9601	
贋	𢦤	visual	0.9601	
考	芳	visual	0.9601	
䕶	𢦤	visual	0.9601	
抛	𮑮	visual	0.9601	
抛	𮙥	visual	0.9601	
溯	遡	visual	0.9601	
㫖	𤄊	visual	0.9601	
陵	陸	slot	0.9601	⿰:R:坴/夌
孰	敦	slot	0.9601	⿰:R:攵/丸
籖	𢦤	visual	0.9600	
偕	僣	slot	0.9600	⿰:R:皆/替
飣	餌	slot	0.9600	⿰:R:丁/耳
盎	葢	visual	0.9600	
聱	贅	slot	0.9600	⿱:B:貝/耳
僅	僮	slot	0.9600	⿰:R:堇/童
懴	𠮓	visual	0.9600	
厨	𨽾	visual	0.9600	
歳	𨽾	visual	0.9600	
披	捜	slot	0.9600	⿰:R:申又/皮
雜	雞	slot	0.9600	⿰:L:奚/亠从木
潙	譌	slot	0.9600	⿰:L:言/氵
抝	摉	slot	0.9600	⿰:R:幺𠃌/宀火夕
坎	次	slot	0.9600	⿰:L:土/二
明	胡	visual	0.9600	
揚	楊	slot	0.9600	⿰:L:木/扌
鬬	𮬻	visual	0.9600	
抛	𤄊	visual	0.9600	
礱	龔	slot	0.9600	⿱:B:共/石
處	虙	slot	0.9600	⿸:I:夂几/必
至	𤄊	visual	0.9600	
滛	𥳽	visual	0.9600	
捜	𥙐	visual	0.9600	
至	𣵠	visual	0.9600	
其	𢑴	visual	0.9600	
抛	𥳽	visual	0.9600	
䈂	箕	slot	0.9600	⿱:B:并/其
如	𫃟	visual	0.9600	
䟽	𮬻	visual	0.9600	
燔	燿	slot	0.9600	⿰:R:番/翟
毁	𦊨	visual	0.9600	
巘	讞	slot	0.9600	⿰:L:言/山
肫	肺	slot	0.9600	⿰:R:屯/巿
畧	𤇍	visual	0.9600	
側	測	slot	0.9600	⿰:L:氵/亻
燎	療	visual	0.9600	
又	𤄊	visual	0.9600	
裧	𧝞	slot	0.9600	⿰:R:幾/炎
者	耆	slot	0.9600	⿱:T:耂/老
陛	陸	slot	0.9600	⿰:R:坴/坒
煉	蝀	visual	0.9600	
紬	細	slot	0.9600	⿰:R:由/田
顔	𨏵	visual	0.9599	
駁	駮	slot	0.9599	⿰:R:交/爻
厯	鈫	visual	0.9599	
鬬	𤄊	visual	0.9599	
滙	𣕕	visual	0.9599	
椿	楮	slot	0.9599	⿰:R:春/者
㫖	𦒿	visual	0.9599	
梟	臬	visual	0.9599	
滴	濶	slot	0.9599	⿰:R:啇/門舌
幐	𣱁	visual	0.9599	
謄	賸	visual	0.9599	
之	宼	slot	0.9599	⿱:B:#(㇇乀)/冖元女
滛	𫃟	visual	0.9599	
着	𢦤	visual	0.9599	
予	子	visual	0.9599	
騄	驟	slot	0.9599	⿰:R:聚/录
編	𥙐	visual	0.9599	
窽	𨏵	visual	0.9599	
鱣	𭥆	slot	0.9599	⿰:L:方/魚
厨	𥙐	visual	0.9599	
觶	觸	slot	0.9599	⿰:R:單/蜀
窽	𮊁	visual	0.9599	
舉	轝	slot	0.9599	⿱:B:車/𰀁
頽	𧃲	visual	0.9599	
明	昕	slot	0.9599	⿰:R:斤/月
涂	淙	slot	0.9599	⿰:R:余/宗
至	𠷣	visual	0.9599	
倶	𭥆	visual	0.9599	
餙	𧝞	visual	0.9599	
凛	廪	visual	0.9599	
忍	忽	slot	0.9599	⿱:T:刃/勿
者	𦒿	visual	0.9599	
呈	旱	visual	0.9599	
奪	尊	slot	0.9599	⿱:T:酋/大隹
分	𮞉	visual	0.9599	
紬	紳	slot	0.9599	⿰:R:申/由
絺	餙	slot	0.9599	⿰:L:飠/糸
儆	敞	visual	0.9599	
堲	塈	slot	0.9599	⿱:T:即/既
髪	𢑴	visual	0.9599	
光	米	visual	0.9598	
者	𭥆	visual	0.9598	
廬	爐	visual	0.9598	
亷	𧃲	visual	0.9598	
厨	𮑮	visual	0.9598	
倶	𮞉	visual	0.9598	
宼	𥳽	visual	0.9598	
有	𤄊	visual	0.9598	
勒	靳	slot	0.9598	⿰:R:斤/力
鈗	銳	slot	0.9598	⿰:R:兑/允
者	𮑮	visual	0.9598	
捜	𣙗	visual	0.9598	
静	𦊨	visual	0.9598	
壊	𤄊	visual	0.9598	
閲	𠮓	visual	0.9598	
玉	王	visual	0.9598	
擅	氊	visual	0.9598	
不	𨽾	visual	0.9598	
殷	般	slot	0.9598	⿰:L:𠂆𫜹𠃌/舟
静	𢑴	visual	0.9598	
抛	𮬻	visual	0.9598	
榮	滎	slot	0.9598	⿱:B:木/水
渦	澗	slot	0.9598	⿰:R:間/咼
嘏	暇	slot	0.9598	⿰:L:古/日
寛	𮑮	visual	0.9598	
䟽	跡	slot	0.9598	⿰:R:㐬/亦
陛	階	slot	0.9598	⿰:R:皆/坒
遥	𧃲	visual	0.9598	
又	𦊨	visual	0.9598	
去	夫	visual	0.9598	
有	𮙥	visual	0.9598	
畞	𣙗	visual	0.9598	
頄	頑	slot	0.9598	⿰:L:九/元
仕	任	slot	0.9598	⿰:R:士/壬
堵	楮	slot	0.9598	⿰:L:土/木
售	舊	visual	0.9598	
丧	𤄊	visual	0.9598	
苢	莒	slot	0.9597	⿱:B:㠯/吕
庳	渒	visual	0.9597	
廵	𥳽	visual	0.9597	
之	立	visual	0.9597	
廵	𮬻	visual	0.9597	
乾	𠏉	slot	0.9597	⿰:R:余/乞
勞	榮	slot	0.9597	⿱:B:木/力
摩	靡	slot	0.9597	⿸:I:手/非
其	各	visual	0.9597	
朗	郎	slot	0.9597	⿰:R:阝/月
越	趣	slot	0.9597	⿺:I:取/戉
歧	跂	slot	0.9597	⿰:L:止/𧾷
删	蒯	slot	0.9597	⿰:L:艹朋/册
硯	視	slot	0.9597	⿰:L:示/石
䕶	𣕕	visual	0.9597	
色	邑	slot	0.9597	⿱:T:⺈/口
髪	𤇍	visual	0.9597	
加	𫃟	visual	0.9597	
俾	傳	slot	0.9597	⿰:R:專/卑
之	户	slot	0.9597	⿱:B:#(㇇乀)/尸
静	𥙐	visual	0.9597	
捜	𮑮	visual	0.9597	
䕶	𥊍	visual	0.9597	
響	饗	slot	0.9597	⿱:B:食/音
繞	纔	slot	0.9597	⿰:R:堯/毚
綃	誚	slot	0.9597	⿰:L:言/糸
頽	𢦤	visual	0.9597	
厯	𠮓	visual	0.9597	
而	𭥆	visual	0.9597	
幵	玗	visual	0.9597	
所	禆	visual	0.9597	
蛟	較	slot	0.9597	⿰:L:車/虫
㩁	厯	visual	0.9597	
文	𤄊	visual	0.9597	
幐	𤄊	visual	0.9597	
其	窽	visual	0.9597	
幗	蟈	slot	0.9597	⿰:L:虫/巾
懐	𮑮	visual	0.9597	
埋	堙	slot	0.9597	⿰:R:垔/里
嚷	𮑮	visual	0.9597	
全	𥳽	visual	0.9597	
嚷	𥳽	visual	0.9597	
氊	𫃟	visual	0.9597	
看	肴	visual	0.9597	
歳	𢦤	visual	0.9597	
鏜	鐘	slot	0.9597	⿰:R:童/堂
滛	𧃲	visual	0.9597	
於	𣙗	visual	0.9597	
氂	釐	slot	0.9597	⿸:I:里/毛
括	插	slot	0.9597	⿰:R:臿/舌
𦊕	𮙥	visual	0.9597	
履	屨	slot	0.9597	⿸:I:復/彳婁
情	惰	slot	0.9597	⿰:R:青/𲺋
壊	𣙗	visual	0.9597	
藴	𣵠	visual	0.9597	
厯	𨏵	visual	0.9596	
形	彤	slot	0.9596	⿰:L:开/丹
工	𢦤	visual	0.9596	
剌	頼	slot	0.9596	⿰:R:刂/頁
榔	槨	slot	0.9596	⿰:R:郎/郭
閉	閑	slot	0.9596	⿵:I:才/木
燧	繸	slot	0.9596	⿰:L:火/糸
閲	𦒿	visual	0.9596	
又	𭥆	visual	0.9596	
寛	窽	visual	0.9596	
宼	𥙐	visual	0.9596	
之	𢂹	visual	0.9596	
洚	降	slot	0.9596	⿰:L:阝/氵
彚	𤄊	visual	0.9596	
畞	𤇍	visual	0.9596	
而	𤄊	visual	0.9596	
禆	逈	visual	0.9596	
方	有	visual	0.9596	
至	𣙗	visual	0.9596	
哀	袁	visual	0.9596	
髪	𫃟	visual	0.9596	
有	𢑴	visual	0.9596	
緝	緡	slot	0.9596	⿰:R:咠/昬
濶	𮙥	visual	0.9596	
紐	組	slot	0.9596	⿰:R:且/丑
刼	𥙐	visual	0.9596	
贋	鷹	visual	0.9596	
㓜	幻	slot	0.9596	⿰:R:刀/𠃌
納	衲	slot	0.9596	⿰:L:糸/衤
廌	薦	visual	0.9596	
廵	𨽾	visual	0.9596	
渫	溧	slot	0.9596	⿰:R:枼/栗
不	𣵠	visual	0.9596	
璵	興	visual	0.9596	
悞	愞	slot	0.9596	⿰:R:吳/耎
着	𣕕	visual	0.9596	
官	𦊨	visual	0.9596	
抝	𥙐	visual	0.9596	
籖	鈫	visual	0.9596	
巳	𣕕	visual	0.9596	
渒	𫃟	visual	0.9596	
𤇍	𤇴	slot	0.9596	⿱:T:朮/𦣞
之	鈫	visual	0.9596	
勱	勸	slot	0.9596	⿰:L:萬/雚
刖	別	slot	0.9596	⿰:L:口勹/月
壊	𦊨	visual	0.9596	
遥	𫃟	visual	0.9596	
𦊕	𮑮	visual	0.9596	
甾	笛	visual	0.9596	
而	𫃟	visual	0.9596	
如	𨽾	visual	0.9596	
筮	筴	slot	0.9596	⿱:B:巫/夾
廪	𣵠	visual	0.9596	
㩁	之	visual	0.9596	
昄	販	slot	0.9596	⿰:L:日/貝
岸	崖	slot	0.9595	⿱:B:厂干/厓
密	蜜	slot	0.9595	⿱:B:山/虫
於	𣕕	visual	0.9595	
全	𣵠	visual	0.9595	
晩	𨏵	visual	0.9595	
窽	𦒿	visual	0.9595	
稜	稷	slot	0.9595	⿰:R:畟/夌
弄	弆	visual	0.9595	
窽	蓡	visual	0.9595	
有	𠷣	visual	0.9595	
者	諸	visual	0.9595	
氊	𢦤	visual	0.9595	
本	𢦤	visual	0.9595	
有	𢇮	visual	0.9595	
寛	𮬻	visual	0.9595	
睍	硯	slot	0.9595	⿰:L:石/目
振	捩	slot	0.9595	⿰:R:辰/戾
之	者	visual	0.9595	
者	𥳽	visual	0.9595	
亷	𥳽	visual	0.9595	
頽	𢇮	visual	0.9595	
之	𠈁	visual	0.9595	
覺	鳬	visual	0.9595	
丘	匠	visual	0.9595	
弣	跗	slot	0.9595	⿰:L:𧾷/弓
簔	𮞉	visual	0.9595	
捜	𦊨	visual	0.9595	
徤	𮑮	visual	0.9595	
環	還	visual	0.9595	
又	𮬻	visual	0.9595	
兩	爾	visual	0.9595	
𠏉	𤇍	visual	0.9595	
汪	注	slot	0.9595	⿰:R:主/王
不	𮬻	visual	0.9595	
之	於	visual	0.9595	
絘	飲	visual	0.9595	
俟	涘	slot	0.9595	⿰:L:氵/亻
抛	𢇮	visual	0.9595	
壊	𥙐	visual	0.9595	
頼	𫃟	visual	0.9595	
分	𥳽	visual	0.9595	
徤	𦊨	visual	0.9595	
厨	𢇮	visual	0.9595	
其	𮑮	visual	0.9595	
轅	轕	slot	0.9595	⿰:R:葛/袁
静	𢦤	visual	0.9595	
簔	𣱁	visual	0.9595	
勢	槷	slot	0.9595	⿱:B:木/力
籖	𨽾	visual	0.9595	
渦	過	visual	0.9595	
岵	帖	visual	0.9594	
祇	秖	slot	0.9594	⿰:L:示/禾
敞	敬	slot	0.9594	⿰:L:艹句/尚
濶	𥳽	visual	0.9594	
畞	𥳽	visual	0.9594	
凶	囚	visual	0.9594	
幐	𮙥	visual	0.9594	
柏	棺	slot	0.9594	⿰:R:官/白
而	𮊁	visual	0.9594	
衿	袀	slot	0.9594	⿰:R:匀/今
耋	臺	visual	0.9594	
厯	𤇍	visual	0.9594	
佶	倩	slot	0.9594	⿰:R:青/吉
奥	𣙗	visual	0.9594	
薳	𣕕	visual	0.9594	
嚷	𧃲	visual	0.9594	
焯	煒	slot	0.9594	⿰:R:卓/韋
基	惎	slot	0.9594	⿱:B:心/土
个	介	slot	0.9594	⿱:B:丨/丿丨
氊	𧃲	visual	0.9594	
如	𥊍	visual	0.9594	
赴	起	slot	0.9594	⿺:I:卜/己
喚	渙	slot	0.9594	⿰:L:口/氵
於	𦊨	visual	0.9594	
畧	餙	visual	0.9594	
之	𤊹	visual	0.9594	
蓡	鈫	visual	0.9594	
頽	𣙗	visual	0.9594	
鈫	𧝞	visual	0.9594	
罩	覃	visual	0.9594	
薰	黨	visual	0.9594	
鄆	鄲	slot	0.9594	⿰:L:單/軍
駕	鷯	visual	0.9594	
懴	𮊁	visual	0.9594	
潄	𥙐	visual	0.9594	
静	𨽾	visual	0.9594	
牋	賤	slot	0.9594	⿰:L:貝/片
摉	𦒿	visual	0.9594	
倶	嫓	visual	0.9594	
幐	餙	visual	0.9594	
圻	折	slot	0.9594	⿰:L:扌/土
沒	没	slot	0.9594	⿰:R:刀又/殳
紋	絞	slot	0.9594	⿰:R:交/文
禆	𣻎	visual	0.9594	
細	繩	slot	0.9594	⿰:R:田/黽
課	謀	slot	0.9594	⿰:R:某/果
亷	𮬻	visual	0.9594	
閲	𨓜	visual	0.9594	
䅻	稿	slot	0.9594	⿰:R:离/高
濶	𢇮	visual	0.9594	
著	𣕕	visual	0.9594	
廵	𮑮	visual	0.9594	
厯	蓡	visual	0.9594	
友	女	visual	0.9594	
四	𣌾	visual	0.9594	
蕒	賣	slot	0.9594	⿱:T:士/艹
遥	𦊨	visual	0.9594	
贋	𥙐	visual	0.9594	
䃾	祉	slot	0.9594	⿰:R:比/止
嫓	廸	visual	0.9594	
吏	束	visual	0.9594	
因	𣕕	visual	0.9594	
煢	瑩	slot	0.9594	⿱:B:卂/玉
磔	礫	slot	0.9594	⿰:R:樂/桀
奸	妍	slot	0.9594	⿰:R:干/开
鮑	鱣	slot	0.9594	⿰:R:包/亶
揭	羯	slot	0.9594	⿰:L:扌/羊
歛	飲	slot	0.9594	⿰:L:飠/僉
傅	博	slot	0.9594	⿰:L:亻/十
寛	𥊍	visual	0.9594	
二	𥙐	visual	0.9594	
總	聰	slot	0.9594	⿰:L:糸/耳
之	即	visual	0.9594	
謩	譽	slot	0.9594	⿱:T:莫/與
氊	𮙥	visual	0.9593	
誤	謨	slot	0.9593	⿰:R:口天/莫
棐	裴	slot	0.9593	⿱:B:衣/木
雪	霅	slot	0.9593	⿱:B:言/𫜹
載	轂	slot	0.9593	⿹:O:𢦏/𣪊
幸	辛	visual	0.9593	
藴	𭥆	visual	0.9593	
抝	𦊨	visual	0.9593	
木	未	slot	0.9593	⿻:A:𰀁/十
寫	爲	visual	0.9593	
兹	𨽾	visual	0.9593	
鬬	𢇮	visual	0.9593	
刼	劫	slot	0.9593	⿰:R:力/刃
省	雀	slot	0.9593	⿱:B:隹/自
奕	突	visual	0.9593	
畞	𢦤	visual	0.9593	
叠	𥊍	visual	0.9593	
冏	問	visual	0.9593	
雱	髣	slot	0.9593	⿱:T:雨/髟
奴	姒	slot	0.9593	⿰:R:以/又
亷	𠷣	visual	0.9593	
畞	𫃟	visual	0.9593	
廵	𢑴	visual	0.9593	
祀	祖	slot	0.9593	⿰:R:巳/且
燎	繚	slot	0.9593	⿰:L:火/糸
篳	簞	slot	0.9593	⿱:B:單/畢
有	𣵠	visual	0.9593	
徤	𣱁	visual	0.9593	
之	必	visual	0.9593	
橋	稿	visual	0.9593	
兹	𧃲	visual	0.9593	
滛	𠷣	visual	0.9593	
亷	𨽾	visual	0.9593	
又	𣱁	visual	0.9593	
園	圜	slot	0.9593	⿴:I:睘/袁
徐	涂	slot	0.9593	⿰:L:氵/彳
粃	粧	slot	0.9593	⿰:R:比/庄
遥	𣱁	visual	0.9593	
俊	梭	slot	0.9593	⿰:L:木/亻
綢	調	slot	0.9593	⿰:L:糸/言
加	𥙐	visual	0.9593	
様	𦊨	visual	0.9593	
繞	饒	slot	0.9593	⿰:L:飠/糸
如	𤄊	visual	0.9593	
蜜	螢	slot	0.9593	⿱:T:宓/𤇾
稟	稾	slot	0.9593	⿱:T:㐭/高
文	𢦤	visual	0.9593	
包	𥙐	visual	0.9593	
捜	𧃲	visual	0.9593	
幐	𠷣	visual	0.9593	
壊	𮬻	visual	0.9593	
㓜	𦊨	visual	0.9593	
鷢	鷹	visual	0.9593	
元	无	visual	0.9593	
藐	貌	visual	0.9592	
有	𮑮	visual	0.9592	
者	𣱁	visual	0.9592	
四	𥮥	visual	0.9592	
煓	端	slot	0.9592	⿰:L:立/火
恃	悖	slot	0.9592	⿰:R:寺/孛
渒	𧃲	visual	0.9592	
様	𣕕	slot	0.9592	⿰:R:臼工/𦍌水
倶	餙	visual	0.9592	
歳	𥙐	visual	0.9592	
析	祈	slot	0.9592	⿰:L:木/示
書	禆	visual	0.9592	
之	畧	visual	0.9592	
咮	咻	slot	0.9592	⿰:R:朱/休
㫖	者	slot	0.9592	⿱:T:上/耂
所	𣕕	visual	0.9592	
全	𨽾	visual	0.9592	
婉	腕	slot	0.9592	⿰:L:月/女
䟽	𮙥	visual	0.9592	
朗	朝	slot	0.9592	⿰:L:丶𢀳丶/𠦝
穠	襛	slot	0.9592	⿰:L:衤/禾
全	呈	slot	0.9592	⿱:T:人/口
捷	提	slot	0.9592	⿰:R:是/疌
顔	𭥆	visual	0.9592	
鰓	鰥	slot	0.9592	⿰:R:眔/思
懐	𥳽	visual	0.9592	
而	𥳽	visual	0.9592	
㫖	𫃟	visual	0.9592	
一	十	visual	0.9592	
如	𧃲	visual	0.9592	
厯	懋	visual	0.9592	
幐	腳	slot	0.9592	⿰:R:谷卩/龹巾
鷮	鷯	slot	0.9592	⿰:L:喬/尞
愧	槐	slot	0.9592	⿰:L:木/忄
之	𤇴	visual	0.9592	
之	本	visual	0.9592	
干	王	visual	0.9592	
禆	脾	slot	0.9592	⿰:L:月/示
兹	𮬻	visual	0.9592	
籖	𣙗	visual	0.9592	
之	𣌾	visual	0.9592	
用	田	visual	0.9592	
書	𣌾	visual	0.9592	
刼	𤄊	visual	0.9592	
嚷	𢇮	visual	0.9592	
思	恩	slot	0.9592	⿱:T:田/因
分	𣵠	visual	0.9592	
裁	載	slot	0.9592	⿹:I:車/衣
静	𮬻	visual	0.9592	
攽	放	slot	0.9592	⿰:L:方/分
塘	墉	slot	0.9592	⿰:R:唐/庸
厨	𠮓	visual	0.9592	
氊	𢇮	visual	0.9592	
絅	網	slot	0.9592	⿰:R:罔/冋
僣	潜	slot	0.9592	⿰:L:氵/亻
薳	𥙐	visual	0.9592	
