== border_detect Step1 边框探测：206 页
[242/1236] 19% border_detect_gate p36: 完成 0.11s
[243/1236] 19% border_detect_gate p37: 完成 0.11s
[244/1236] 19% border_detect_gate p38: 完成 0.12s
[245/1236] 19% border_detect_gate p39: 完成 0.10s
[246/1236] 19% border_detect_gate p40: 完成 0.11s
[247/1236] 19% border_detect_gate p41: 完成 0.11s
[248/1236] 20% border_detect_gate p42: 完成 0.11s
[249/1236] 20% border_detect_gate p43: 完成 0.10s
[250/1236] 20% border_detect_gate p44: 完成 0.10s
[251/1236] 20% border_detect_gate p45: 完成 0.11s
[252/1236] 20% border_detect_gate p46: 完成 0.11s
[253/1236] 20% border_detect_gate p47: 完成 0.11s
[254/1236] 20% border_detect_gate p48: 完成 0.13s
[255/1236] 20% border_detect_gate p49: 完成 0.11s
[256/1236] 20% border_detect_gate p50: 完成 0.12s
[257/1236] 20% border_detect_gate p51: 完成 0.11s
[258/1236] 20% border_detect_gate p52: 完成 0.11s
[259/1236] 20% border_detect_gate p53: 完成 0.11s
[260/1236] 21% border_detect_gate p54: 完成 0.11s
[261/1236] 21% border_detect_gate p55: 完成 0.10s
[262/1236] 21% border_detect_gate p56: 完成 0.11s
[263/1236] 21% border_detect_gate p57: 完成 0.10s
[264/1236] 21% border_detect_gate p58: 完成 0.11s
[265/1236] 21% border_detect_gate p59: 完成 0.11s
[266/1236] 21% border_detect_gate p60: 完成 0.11s
[267/1236] 21% border_detect_gate p61: 完成 0.11s
[268/1236] 21% border_detect_gate p62: 完成 0.11s
[269/1236] 21% border_detect_gate p63: 完成 0.11s
[270/1236] 21% border_detect_gate p64: 完成 0.11s
[271/1236] 21% border_detect_gate p65: 完成 0.11s
[272/1236] 22% border_detect_gate p66: 完成 0.13s
[273/1236] 22% border_detect_gate p67: 完成 0.11s
[274/1236] 22% border_detect_gate p68: 完成 0.11s
[275/1236] 22% border_detect_gate p69: 完成 0.11s
[276/1236] 22% border_detect_gate p70: 完成 0.11s
[277/1236] 22% border_detect_gate p71: 完成 0.11s
[278/1236] 22% border_detect_gate p72: 完成 0.11s
[279/1236] 22% border_detect_gate p73: 完成 0.10s
[280/1236] 22% border_detect_gate p74: 完成 0.10s
[281/1236] 22% border_detect_gate p75: 完成 0.11s
[282/1236] 22% border_detect_gate p76: 完成 0.11s
[283/1236] 22% border_detect_gate p77: 完成 0.11s
[284/1236] 22% border_detect_gate p78: 完成 0.10s
[285/1236] 23% border_detect_gate p79: 完成 0.10s
[286/1236] 23% border_detect_gate p80: 完成 0.11s
[287/1236] 23% border_detect_gate p81: 完成 0.10s
[288/1236] 23% border_detect_gate p82: 完成 0.11s
[289/1236] 23% border_detect_gate p83: 完成 0.11s
[290/1236] 23% border_detect_gate p84: 完成 0.10s
[291/1236] 23% border_detect_gate p85: 完成 0.10s
[292/1236] 23% border_detect_gate p86: 完成 0.11s
[293/1236] 23% border_detect_gate p87: 完成 0.11s
[294/1236] 23% border_detect_gate p88: 完成 0.11s
[295/1236] 23% border_detect_gate p89: 完成 0.11s
[296/1236] 23% border_detect_gate p90: 完成 0.11s
[297/1236] 24% border_detect_gate p91: 完成 0.10s
[298/1236] 24% border_detect_gate p92: 完成 0.11s
[299/1236] 24% border_detect_gate p93: 完成 0.10s
[300/1236] 24% border_detect_gate p94: 完成 0.11s
[301/1236] 24% border_detect_gate p95: 完成 0.11s
[302/1236] 24% border_detect_gate p96: 完成 0.11s
[303/1236] 24% border_detect_gate p97: 完成 0.10s
[304/1236] 24% border_detect_gate p98: 完成 0.11s
[305/1236] 24% border_detect_gate p99: 完成 0.12s
[306/1236] 24% border_detect_gate p100: 完成 0.10s
[307/1236] 24% border_detect_gate p101: 完成 0.10s
[308/1236] 24% border_detect_gate p102: 完成 0.11s
[309/1236] 25% border_detect_gate p103: 完成 0.12s
[310/1236] 25% border_detect_gate p104: 完成 0.11s
